1,¿Cuál es la capital de Francia?,París,Madrid,Roma,Berlín,A
1,¿De qué color es el cielo en un día despejado?,Rojo,Verde,Azul,Amarillo,C
1,¿Cuántas patas tiene un perro?,Ocho,Seis,Cuatro,Dos,C
1,¿Qué fruta es amarilla y curva?,Banano,Manzana,Fresa,Uva,A
1,¿Qué animal dice “miau”?,Vaca,Perro,Gato,Pato,C
2,¿Qué parte del cuerpo usamos para ver?,Ojos,Manos,Orejas,Boca,A
2,¿Qué día viene después del lunes?,Viernes,Martes,Miércoles,Domingo,B
2,¿Qué animal pone huevos?,Gato,Perro,Gallina,Cabra,C
2,¿Cuál es la capital de España?,Barcelona,Madrid,Sevilla,Valencia,B
2,¿Qué planeta es conocido como el planeta rojo?,Venus,Saturno,Marte,Júpiter,C
3,¿Qué gas respiramos para vivir?,Oxígeno,Nitrógeno,Carbono,Helio,A
3,¿Cuál es el océano más grande?,Atlántico,Índico,Pacífico,Ártico,C
3,¿Qué planeta está más cerca del Sol?,Venus,Marte,Mercurio,Tierra,C
3,¿Qué animal tiene una trompa larga?,León,Jirafa,Elefante,Tigre,C
4,¿Qué planeta tiene anillos visibles?,Júpiter,Saturno,Urano,Neptuno,B
4,¿Cuántas horas tiene un día?,36,24,12,48,B
4,¿Qué animal produce miel?,Abeja,Mariposa,Escarabajo,Hormiga,A
4,¿En qué continente está Egipto?,América,Asia,África,Europa,C
5,¿Qué órgano bombea la sangre en el cuerpo?,Pulmón,Cerebro,Corazón,Hígado,C
5,¿Qué número romano representa el 10?,X,V,L,I,A
5,¿Qué animal es conocido como el rey de la selva?,León,Elefante,Tigre,Jaguar,A
5,¿En qué país se encuentra la Torre Eiffel?,España,Alemania,Francia,Italia,C
6,¿Cuántos planetas tiene el sistema solar?,8,9,7,10,A
6,¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Misisipi,Yangtsé,B
6,¿Qué gas exhalamos al respirar?,Oxígeno,Helio,Nitrógeno,Dióxido de carbono,D
6,¿Qué científico propuso las leyes del movimiento?,Einstein,Galileo,Newton,Faraday,C
6,¿Qué tipo de energía usa una linterna?,Solar,Eólica,Eléctrica,Térmica,C
7,¿Qué científico formuló la teoría de la relatividad?,Galileo,Einstein,Newton,Hawking,B
7,¿Qué unidad mide la fuerza?,Amperio,Newton,Voltio,Ohm,B
7,¿En qué país se originaron los Juegos Olímpicos?,Grecia,Italia,Francia,España,A
8,¿Qué instrumento mide la temperatura?,Termómetro,Higrómetro,Barómetro,Anemómetro,A
8,¿Cuál es el país más grande del mundo?,China,Canadá,Rusia,EE.UU.,C
8,¿Qué gas forma la mayor parte del aire?,Oxígeno,Nitrógeno,Helio,Argón,B
8,¿Qué tipo de energía producen los molinos de viento?,Eólica,Hidráulica,Geotérmica,Nuclear,A
9,¿Qué elemento químico tiene el símbolo H?,Helio,Hidrógeno,Hierro,Hafnio,B
9,¿Qué animal es famoso por su cuello largo?,Cebra,Jirafa,León,Camello,B
9,¿Qué órgano controla las funciones del cuerpo?,Corazón,Pulmón,Hígado,Cerebro,D
9,¿Qué planeta es el más grande del sistema solar?,Saturno,Urano,Neptuno,Júpiter,D
9,¿Qué capa de la Tierra es la más externa?,Núcleo,Manto,Litosfera,Corteza,D
10,¿Quién fue el primer hombre en pisar la Luna?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,C
10,¿Cuál es el idioma oficial de Brasil?,Inglés,Francés,Portugués,Español,C
10,¿Qué tipo de célula no tiene núcleo?,Vegetal,Animal,Procariota,Eucariota,C
11,¿Qué unidad mide la intensidad de corriente eléctrica?,Voltio,Ohm,Amperio,Newton,C
11,¿Qué planeta es conocido como el gigante gaseoso?,Júpiter,Saturno,Neptuno,Urano,A
11,¿Cuál es el proceso por el que las plantas fabrican su alimento?,Fotosíntesis,Respiración,Germinación,Evaporación,A
12,¿Qué parte de la célula contiene el material genético?,Citoplasma,Núcleo,Mitocondria,Membrana,B
12,¿Qué científico descubrió la gravedad?,Einstein,Newton,Kepler,Galileo,B
12,¿Qué órgano del cuerpo filtra la sangre?,Pulmones,Corazón,Riñones,Hígado,C
12,¿Qué fenómeno causa el día y la noche?,Rotación terrestre,Traslación,Revolución,Inclinación,A
13,¿Qué tipo de energía produce el Sol?,Térmica,Química,Luminosa,Nuclear,D
13,¿Qué científico desarrolló la tabla periódica?,Mendeleiev,Bohr,Dalton,Rutherford,A
13,¿Qué unidad mide la frecuencia?,Joule,Watt,Hertz,Volt,C
13,¿Qué parte del ojo controla la cantidad de luz?,Iris,Retina,Pupila,Córnea,A
13,¿Qué órgano realiza la digestión principal?,Estómago,Intestino,Hígado,Corazón,A
14,¿Qué país inventó el papel?,Egipto,Grecia,India,China,D
14,¿Qué unidad mide la presión?,Watt,Pascal,Joule,Newton,B
14,¿Cuál es la principal función del ADN?,Almacenar información genética,Transportar oxígeno,Controlar la digestión,Producir energía,A
15,¿Cuál es la velocidad de la luz en el vacío?,3x10^8 m/s,3x10^6 m/s,3x10^4 m/s,3x10^2 m/s,A
15,¿Qué partícula subatómica tiene carga negativa?,Protón,Electrón,Neutrón,Positrón,B
15,¿Qué ley explica la relación entre voltaje, corriente y resistencia?,Ley de Ohm,Ley de Newton,Ley de Boyle,Ley de Coulomb,A
15,¿Qué científico propuso la teoría de la evolución?,Mendel,Einstein,Newton,Darwin,D
